SW_MATCHED,SW_ELAPSED,HW_MATCHED,HW_ELAPSED
600,128,0.001022,128,0.029759
600,128,0.001044,128,0.029753
600,128,0.001029,128,0.029743
600,128,0.001019,128,0.029746
600,128,0.001021,128,0.029690
600,128,0.001049,128,0.029750
600,128,0.001036,128,0.029754
600,128,0.001030,128,0.029752
600,128,0.001031,128,0.029751
600,128,0.001020,128,0.029741
600,128,0.001024,128,0.029759
600,128,0.001032,128,0.029753
600,128,0.001016,128,0.029747
600,128,0.001034,128,0.029744
600,128,0.001029,128,0.029760
600,128,0.001038,128,0.029768
600,128,0.001020,128,0.029758
600,128,0.001031,128,0.029744
600,128,0.001030,128,0.029751
600,128,0.001059,128,0.029666
600,128,0.001036,128,0.029745
600,128,0.001023,128,0.029744
600,128,0.001043,128,0.029746
600,128,0.001023,128,0.029682
600,128,0.001033,128,0.029763
600,128,0.001022,128,0.029754
600,128,0.001030,128,0.029746
600,128,0.001018,128,0.029753
600,128,0.001036,128,0.029751
600,128,0.001018,128,0.029739
600,128,0.001026,128,0.029699
600,128,0.001016,128,0.029753
600,128,0.001019,128,0.029761
600,128,0.001028,128,0.029753
600,128,0.001026,128,0.029758
600,128,0.001028,128,0.029757
600,128,0.001042,128,0.029749
600,128,0.001035,128,0.029751
600,128,0.001028,128,0.029664
600,128,0.001026,128,0.029747
600,128,0.001023,128,0.029747
600,128,0.001024,128,0.029746
600,128,0.001038,128,0.029753
600,128,0.001027,128,0.029735
600,128,0.001023,128,0.029756
600,128,0.001043,128,0.029681
600,128,0.001034,128,0.029751
600,128,0.001051,128,0.029745
600,128,0.001029,128,0.029746
600,128,0.001024,128,0.029747
600,128,0.001022,128,0.029753
600,128,0.001030,128,0.029753
600,128,0.001036,128,0.029675
600,128,0.001045,128,0.029754
600,128,0.001020,128,0.029735
600,128,0.001011,128,0.029747
600,128,0.001023,128,0.029700
600,128,0.001037,128,0.029752
600,128,0.001041,128,0.029743
600,128,0.001025,128,0.029746
600,128,0.001035,128,0.029757
600,128,0.001031,128,0.029753
600,128,0.001037,128,0.029755
600,128,0.001019,128,0.029747
600,128,0.001012,128,0.029746
600,128,0.001015,128,0.029716
600,128,0.001026,128,0.029751
600,128,0.001033,128,0.029671
600,128,0.001037,128,0.029753
600,128,0.001026,128,0.029738
600,128,0.001051,128,0.029750
600,128,0.001021,128,0.029736
600,128,0.001026,128,0.029746
600,128,0.001041,128,0.029740
600,128,0.001025,128,0.029649
600,128,0.001030,128,0.029754
600,128,0.001026,128,0.029756
600,128,0.001033,128,0.029766
600,128,0.001019,128,0.029684
600,128,0.001047,128,0.029752
700,128,0.001228,128,0.034748
700,128,0.001189,128,0.034744
700,128,0.001226,128,0.034756
700,128,0.001197,128,0.034685
700,128,0.001179,128,0.034755
700,128,0.001183,128,0.034751
700,128,0.001194,128,0.034757
700,128,0.001183,128,0.034755
700,128,0.001216,128,0.034760
700,128,0.001212,128,0.034764
700,128,0.001201,128,0.034747
700,128,0.001197,128,0.034741
700,128,0.001202,128,0.034673
700,128,0.001186,128,0.034758
700,128,0.001219,128,0.034756
700,128,0.001197,128,0.034756
700,128,0.001203,128,0.034746
700,128,0.001204,128,0.034758
700,128,0.001197,128,0.034759
700,128,0.001204,128,0.034765
700,128,0.001215,128,0.034756
700,128,0.001207,128,0.034759
700,128,0.001182,128,0.034747
700,128,0.001178,128,0.034714
700,128,0.001190,128,0.034763
700,128,0.001186,128,0.034757
700,128,0.001183,128,0.034750
700,128,0.001178,128,0.034751
700,128,0.001190,128,0.034762
700,128,0.001207,128,0.034755
700,128,0.001209,128,0.034740
700,128,0.001190,128,0.034749
700,128,0.001183,128,0.034751
700,128,0.001206,128,0.034757
700,128,0.001191,128,0.034704
700,128,0.001185,128,0.034757
700,128,0.001204,128,0.034755
700,128,0.001198,128,0.034749
700,128,0.001202,128,0.034759
700,128,0.001217,128,0.034762
700,128,0.001208,128,0.034751
700,128,0.001172,128,0.034759
700,128,0.001183,128,0.034749
700,128,0.001211,128,0.034752
700,128,0.001191,128,0.034758
700,128,0.001219,128,0.034757
700,128,0.001196,128,0.034757
700,128,0.001193,128,0.034767
700,128,0.001204,128,0.034749
700,128,0.001184,128,0.034751
700,128,0.001200,128,0.034764
700,128,0.001189,128,0.034755
700,128,0.001199,128,0.034764
700,128,0.001219,128,0.034668
700,128,0.001197,128,0.034755
700,128,0.001192,128,0.034765
700,128,0.001207,128,0.034756
700,128,0.001195,128,0.034759
700,128,0.001191,128,0.034751
700,128,0.001206,128,0.034678
700,128,0.001210,128,0.034742
700,128,0.001186,128,0.034752
700,128,0.001204,128,0.034755
700,128,0.001206,128,0.034757
700,128,0.001200,128,0.034747
700,128,0.001212,128,0.034749
700,128,0.001179,128,0.034751
700,128,0.001190,128,0.034688
700,128,0.001194,128,0.034678
700,128,0.001177,128,0.034746
700,128,0.001183,128,0.034747
700,128,0.001188,128,0.034754
700,128,0.001217,128,0.034758
700,128,0.001194,128,0.034681
700,128,0.001192,128,0.034757
700,128,0.001200,128,0.034730
700,128,0.001192,128,0.034744
700,128,0.001199,128,0.034755
700,128,0.001187,128,0.034759
700,128,0.001196,128,0.034756
700,128,0.001196,128,0.034751
700,128,0.001175,128,0.034756
700,128,0.001212,128,0.034756
700,128,0.001185,128,0.034756
700,128,0.001202,128,0.034759
700,128,0.001228,128,0.034756
700,128,0.001196,128,0.034751
700,128,0.001198,128,0.034761
700,128,0.001202,128,0.034763
700,128,0.001191,128,0.034757
700,128,0.001182,128,0.034759
700,128,0.001182,128,0.034757
700,128,0.001198,128,0.034749
700,128,0.001204,128,0.034754
700,128,0.001205,128,0.034751
700,128,0.001198,128,0.034755
700,128,0.001195,128,0.034751
700,128,0.001213,128,0.034756
700,128,0.001194,128,0.034757
700,128,0.001206,128,0.034754
800,128,0.001353,128,0.039690
800,128,0.001366,128,0.039689
800,128,0.001371,128,0.039692
800,128,0.001377,128,0.039681
800,128,0.001352,128,0.039682
800,128,0.001367,128,0.039689
800,128,0.001375,128,0.039601
800,128,0.001376,128,0.039599
800,128,0.001346,128,0.039693
800,128,0.001361,128,0.039620
800,128,0.001380,128,0.039693
800,128,0.001348,128,0.039676
800,128,0.001349,128,0.039678
800,128,0.001368,128,0.039683
800,128,0.001377,128,0.039684
800,128,0.001384,128,0.039685
800,128,0.001368,128,0.039612
800,128,0.001380,128,0.039689
800,128,0.001354,128,0.039621
800,128,0.001382,128,0.039690
800,128,0.001367,128,0.039698
800,128,0.001386,128,0.039695
800,128,0.001362,128,0.039690
800,128,0.001368,128,0.039663
800,128,0.001364,128,0.039703
800,128,0.001384,128,0.039681
800,128,0.001361,128,0.039690
800,128,0.001353,128,0.039693
800,128,0.001361,128,0.039679
800,128,0.001367,128,0.039694
800,128,0.001350,128,0.039689
800,128,0.001370,128,0.039689
800,128,0.001376,128,0.039678
800,128,0.001381,128,0.039682
800,128,0.001359,128,0.039683
800,128,0.001345,128,0.039689
800,128,0.001383,128,0.039607
800,128,0.001347,128,0.039691
800,128,0.001379,128,0.039691
800,128,0.001356,128,0.039680
800,128,0.001358,128,0.039698
800,128,0.001383,128,0.039691
800,128,0.001353,128,0.039679
800,128,0.001345,128,0.039702
800,128,0.001365,128,0.039697
800,128,0.001366,128,0.039698
800,128,0.001389,128,0.039690
800,128,0.001381,128,0.039689
800,128,0.001359,128,0.039692
800,128,0.001351,128,0.039689
800,128,0.001349,128,0.039696
800,128,0.001366,128,0.039682
800,128,0.001362,128,0.039689
800,128,0.001358,128,0.039680
800,128,0.001338,128,0.039687
800,128,0.001364,128,0.039691
800,128,0.001381,128,0.039534
800,128,0.001368,128,0.039613
800,128,0.001395,128,0.039691
800,128,0.001373,128,0.039689
800,128,0.001359,128,0.039692
800,128,0.001383,128,0.039698
800,128,0.001374,128,0.039682
800,128,0.001370,128,0.039670
800,128,0.001367,128,0.039680
800,128,0.001344,128,0.039617
800,128,0.001364,128,0.039694
800,128,0.001360,128,0.039688
800,128,0.001350,128,0.039697
800,128,0.001346,128,0.039690
800,128,0.001362,128,0.039690
800,128,0.001359,128,0.039680
800,128,0.001366,128,0.039664
800,128,0.001375,128,0.039674
800,128,0.001345,128,0.039684
800,128,0.001361,128,0.039693
800,128,0.001369,128,0.039695
800,128,0.001376,128,0.039691
800,128,0.001357,128,0.039689
800,128,0.001351,128,0.039692
800,128,0.001361,128,0.039690
800,128,0.001365,128,0.039696
800,128,0.001388,128,0.039680
800,128,0.001351,128,0.039675
800,128,0.001367,128,0.039680
800,128,0.001356,128,0.039684
800,128,0.001374,128,0.039690
800,128,0.001357,128,0.039689
800,128,0.001377,128,0.039689
800,128,0.001358,128,0.039690
800,128,0.001351,128,0.039694
800,128,0.001355,128,0.039690
800,128,0.001362,128,0.039602
800,128,0.001366,128,0.039679
800,128,0.001366,128,0.039691
800,128,0.001355,128,0.039686
800,128,0.001387,128,0.039689
800,128,0.001352,128,0.039689
800,128,0.001357,128,0.039692
800,128,0.001363,128,0.039693
900,128,0.001532,128,0.044627
900,128,0.001545,128,0.044631
900,128,0.001520,128,0.044623
900,128,0.001529,128,0.044630
900,128,0.001548,128,0.044603
900,128,0.001546,128,0.044625
900,128,0.001548,128,0.044609
900,128,0.001522,128,0.044629
900,128,0.001543,128,0.044620
900,128,0.001525,128,0.044618
900,128,0.001530,128,0.044601
900,128,0.001552,128,0.044622
900,128,0.001548,128,0.044603
900,128,0.001524,128,0.044624
900,128,0.001519,128,0.044597
900,128,0.001561,128,0.044628
900,128,0.001516,128,0.044617
900,128,0.001525,128,0.044628
900,128,0.001524,128,0.044601
900,128,0.001503,128,0.044623
900,128,0.001533,128,0.044615
900,128,0.001552,128,0.044615
900,128,0.001521,128,0.044626
900,128,0.001530,128,0.044623
900,128,0.001540,128,0.044617
900,128,0.001546,128,0.044611
900,128,0.001569,128,0.044614
900,128,0.001515,128,0.044615
900,128,0.001532,128,0.044617
900,128,0.001536,128,0.044629
900,128,0.001544,128,0.044616
900,128,0.001520,128,0.044628
900,128,0.001523,128,0.044627
900,128,0.001502,128,0.044623
900,128,0.001506,128,0.044621
900,128,0.001540,128,0.044623
900,128,0.001506,128,0.044626
900,128,0.001552,128,0.044627
900,128,0.001508,128,0.044623
900,128,0.001519,128,0.044631
900,128,0.001537,128,0.044626
900,128,0.001537,128,0.044624
900,128,0.001541,128,0.044628
900,128,0.001529,128,0.044627
900,128,0.001520,128,0.044553
900,128,0.001524,128,0.044627
900,128,0.001528,128,0.044627
900,128,0.001548,128,0.044627
900,128,0.001524,128,0.044625
900,128,0.001551,128,0.044623
900,128,0.001543,128,0.044623
900,128,0.001567,128,0.044624
900,128,0.001522,128,0.044633
900,128,0.001527,128,0.044623
900,128,0.001529,128,0.044637
900,128,0.001538,128,0.044624
900,128,0.001533,128,0.044627
900,128,0.001531,128,0.044628
900,128,0.001520,128,0.044623
900,128,0.001529,128,0.044631
900,128,0.001525,128,0.044597
900,128,0.001546,128,0.044616
900,128,0.001527,128,0.044615
900,128,0.001546,128,0.044534
900,128,0.001538,128,0.044615
900,128,0.001529,128,0.044621
900,128,0.001548,128,0.044617
900,128,0.001542,128,0.044625
900,128,0.001521,128,0.044614
900,128,0.001533,128,0.044623
900,128,0.001534,128,0.044594
900,128,0.001501,128,0.044622
900,128,0.001526,128,0.044617
