DB_SIZE,SW_MATCHED,SW_ELAPSED,SW_MATCH_TIME,HW_MATCHED,HW_ELAPSED,HW_MATCH_TIME
500,128,0.001741,0.000002,128,0.024817,0.000044
500,128,0.001675,0.000002,128,0.024825,0.000044
500,128,0.001745,0.000002,128,0.024817,0.000044
500,128,0.001728,0.000002,128,0.024833,0.000044
500,128,0.001697,0.000002,128,0.024817,0.000044
500,128,0.001719,0.000002,128,0.024830,0.000044
500,128,0.001682,0.000002,128,0.024826,0.000044
500,128,0.001743,0.000002,128,0.024817,0.000044
500,128,0.001713,0.000002,128,0.024824,0.000044
500,128,0.001709,0.000002,128,0.024741,0.000044
500,128,0.001685,0.000002,128,0.024824,0.000044
500,128,0.001687,0.000002,128,0.024809,0.000044
500,128,0.001745,0.000002,128,0.024825,0.000044
500,128,0.001749,0.000002,128,0.024818,0.000044
500,128,0.001671,0.000002,128,0.024825,0.000044
500,128,0.001719,0.000002,128,0.024817,0.000044
500,128,0.001737,0.000002,128,0.024818,0.000044
500,128,0.001708,0.000002,128,0.024788,0.000044
500,128,0.001689,0.000002,128,0.024828,0.000044
500,128,0.001742,0.000002,128,0.024828,0.000044
500,128,0.001731,0.000002,128,0.024822,0.000044
500,128,0.001756,0.000002,128,0.024824,0.000044
500,128,0.001740,0.000002,128,0.024823,0.000044
500,128,0.001721,0.000002,128,0.024795,0.000044
500,128,0.001742,0.000002,128,0.024824,0.000044
500,128,0.001743,0.000002,128,0.024813,0.000044
500,128,0.001717,0.000002,128,0.024821,0.000044
500,128,0.001702,0.000002,128,0.024805,0.000044
500,128,0.001717,0.000002,128,0.024817,0.000044
500,128,0.001734,0.000002,128,0.024824,0.000044
500,128,0.001717,0.000002,128,0.024826,0.000044
500,128,0.001686,0.000002,128,0.024822,0.000044
500,128,0.001717,0.000002,128,0.024824,0.000044
500,128,0.001731,0.000002,128,0.024825,0.000044
500,128,0.001712,0.000002,128,0.024802,0.000044
500,128,0.001738,0.000002,128,0.024818,0.000044
500,128,0.001801,0.000002,128,0.024824,0.000044
500,128,0.001719,0.000002,128,0.024822,0.000044
500,128,0.001735,0.000002,128,0.024816,0.000044
500,128,0.001742,0.000002,128,0.024817,0.000044
500,128,0.001717,0.000002,128,0.024826,0.000044
500,128,0.001736,0.000002,128,0.024822,0.000044
500,128,0.001702,0.000002,128,0.024823,0.000044
500,128,0.001694,0.000002,128,0.024823,0.000044
500,128,0.001763,0.000002,128,0.024817,0.000044
500,128,0.001708,0.000002,128,0.024810,0.000044
500,128,0.001729,0.000002,128,0.024830,0.000044
500,128,0.001680,0.000002,128,0.024827,0.000044
500,128,0.001737,0.000002,128,0.024822,0.000044
500,128,0.001757,0.000002,128,0.024809,0.000044
500,128,0.001690,0.000002,128,0.024805,0.000044
